fixed_issnl	issnl	fatcat_ident	name
1530-1311	1530-1311   1550-13112	nklacmgkjdfjib7kqi3hdh76a	International Symposium on Temporal Representation and Reasoning/TIME, Proceedings of the
2306-0441	2223-0441	rngvdeed65ffhmgfxti7s2z6by	Journal of Local and Global Health Science
1641-6554	1641-6565	yviicehmubf4bcxo23q43sbkzu	Kolposkopia
1526-7539	1526-7639	pnyefvclqfabjlnl4suox6pdte	International Symposium on Modeling, Analysis and Simulation of Computer and Telecommunication Systems, Proceedings of the
	0276-6547	hcrk2xeoknf7daxwurje2vg3n4	Computers in Cardiology Conference
0018-9413	0359-4237	ngthxcdwgzhovfgimtll6owdnm	IEEE Transactions on Geoscience Electronics
	2630-4301	drgmggxvfjbjjkakrjegaujkgy	Food Modelling Journal
	1086-7771	sjjfcknh3zawndw6jdmvfrix7a	IEEE transactions on information technology in biomedicine
	1039-1139	nnrvd2qmhzbebk2hsopvtchodq	Academic Physician and Scientist
0037-7996	0037-7796	klgctd3pbvbwpf6ynvd4wns53m	The Social studies
1520-5363	1520-5263	v3zwf2ujd5flzlopo2h4ggmdhu	Document Analysis and Recognition (ICDAR), Proceedings of the International Conference on
1992-4712	1992-4721	mmptdalzizepxi7uqfohnjj3uy	NAFU Farmer
0066-7374	0066-7372	s5fjnmhtkbggtcn2itw4g34bxq	Proceedings of the Aristotelian Society (Hardback)
	1234-5678	lkoo6d6lcvba7hhwswxc6x2sly	Test s Publication
	1080-7725	ikqqv7cnwfhpfkqy2lfugiz6ae	AUTOTESTCON IEEE Systems Readiness Technology Conference, Proceedings of the
	0537-4737	kklzxgby4zfqvow7klnneyjj7e	IEE Telecommunications Hot Topics Forum
	1528-1145	q7j7ro4qfnbjdb2kkkcxatesna	Journal of Psychiatric Practice
	2648-4309	qtvq67fxfje4ro5mldpan35s34	Brill Research Perspectives in Art and Law
	1113-1114	qqkn2huytzfj5fw573bc5ihxyi	A-to-Z Guide to Thermodynamics Heat and Mass Transfer and Fluids Engineering
	1082-241X	c3pwhzd5hvbqzfgqdrbxnyfn3i	Proceedings Annual Simulation Symposium
	1059-4729	b5exnobxjvd65flifftm6gy3f4	IEEE International Conference on Engineering of Complex Computer Systems, Proceedings of the
	0296-1630	u7tretgoaffblbvtsxbtml6pbu	Pleine Marge
	1071-0483	6x6ijsddbva7xldh5ubqoxcf7a	IEEE International Workshop on Future Trends of Distributed Computing Systems (FTDCS)
	0093-2592	ajsbz23tbnghzmwleirmr7or3a	The St. Croix review
	1544-6307	tl5eyaqxbfcllmy7ip63up2sma	Journal Of Cancer Integrative Medicine
	2155-5754	b6s7uywtdfannklqblq6tghkte	International Radar Symposium
	3767-3701	wyh37ssfibcdtlncbi53m7ms4q	Recherche et Applications en Marketing
	2225-8691	bl6y7mpqgfdtxoqqbcq7bikwvu	Applied Computer Systems
	2561-3101	46uvtmw72zgpjhmbkvllrnwlau	Journal of Contact Lens Research and Science
	0939-7148	xma7s7w65zed3g4ojkmfz7r6ca	European journal of pediatric surgery
	1071-6048	dqthad6e3vfhxjf4px42u76dbe	The Journal of technology studies
	1538-8463	j4cxdxvaxrb2thxtvbda47gy2y	Hospital law's Regan report
	2352-3951	pc6ftuth7ffvreuolz5rxbaye4	Nanoelectronics and Spintronics
	2006-9802	wmugzbvj6rcrzg5hf5jtug6tja	Journal of Toxicology and Environmental Health Sciences
	0955-9182	mcpenq5ytrd6zpmuyc5crmx2fi	Contemporary reviews in obstetrics and gynaecology
	0459-188X	iw7xtyujbrax7ojqqbgxjlrsem	Indicator South Africa
	0894-9112	wa3xjixz6ve75j2ecrk23sposq	American Journal of Physical Medicine & Rehabilitation
	0165-0937	32qxo574yjcbbbchqijyakggzm	BABesch - Bulletin Antieke Beschaving
	2968-9853	whexebkzebh5ncyb6hvjppkyqa	International Journal of Sustainable Lighting
	1511-7813	ipu26yclwnhw7ekbsve6wpb44a	Point-Based Graphics (PBG), IEEE VGTC Symposium Proceedings
	2532-4681	opjfte47erhb7dke5aeap5wbse	Eupalino : cultura della città e della casa
	0538-9989	cjkaddjcfzhmveuuffmtycjxmm	Professional Development Course on Railway Electrification Infrastructure and Systems
	1085-7735	oam6q4knpjaq5enpfzra3jazfi	Asian Test Symposium, Proceedings of the
	1064-7564	su2chgwy2vf6zavx6ekbyv4sem	Journal of Environmental Polymer Degradation
	1817-4428	kwqvwiwyx5b5vbjxfetnpxt6ky	The Retail and Marketing Review
	1432-3123	sa73qgbh25bgnd5q6o262u7inm	china Frontiers
	2142-2634	g2z2ld65nve2pdwjk7gr3qe25e	Journal of Civil Engineering and Construction Technology
	9999-9998	nvya624wtbbgxl6bdsrqatslum	Space Resolver 15
	0006-0809	5gtixxmzm5aodhqpd4bqp3hqiq	The Bridge
	7964-0977	bonch7zygnadddv2fqoecmj4yy	IEEE National Aerospace and Electronics Conference
	0003-3829	yqozzqdrwvedvafwrokyx5puna	Annales agronomiques
	2213-0886	hdfn46db7bgw5e7lmmlx3iubxe	Current Chemical Genomics and Translational Medicine
	2333-5225	tgcsgbazhrfqzodbpdkjgtvv6i	Pathophysiology of Cell Injury Journal
	1761-7727	uynmrtrspngoxdjdihrwx3x6oi	International orthodontics
	1990-1993	goo5ob7jqzh7ro5pft7j3qdkaq	Academy of Management Executive
	1111-1111	7au72xtbafdwpdsz6d53elvk2a	SIAM E-Journal on Applied Dynamical Systems
	0613-514X	jjup253sjjc2pkg3zz3vfz3nye	The Journal of Prevention
	1020-1497	gtn3v33zcrg5zndvyir7l65mna	Image & Text : a Journal for Design
	0972-8270	laktqf5ag5fpje2kfzzutnooyq	Journal of maxillofacial and oral surgery
	0133-0189	kixvoietq5bhjeub36kqu6kwpa	DCDS Supplements
	1071-9658	xmwrlaklfbe53ayhlzrhinb5cu	International Symposium on Software Reliability Engineering, Proceedings of the
	0040-5325	qpbm4in22jevvfeht6mhawmllq	The Thomist: A Speculative Quarterly Review
	0039-4156	5xp3jodttzhmrp22xl5femz52q	Study encounter
	1125-5300	zeclu7ljprfkvauia5vljzvnfy	Parolechiave
	1453-212X	dhdssmbdbjfyfe53dpbfgcejti	Research Journal of International Studies
	1550-1834	d57htlky2nexlmy4wa36lva6wy	Brazilian Symposium on Computer Graphics and Image Processing
	0686-3174	ajqi4yc43feitknsozbzgpjnre	Y hoc Viet Nam
	1521-3979	hoifudhajjgwfauzsgevzgogpa	Fortschritte der Physik/Progress of Physics
	2141-6113	xghlebvnzzco3j6eb6ywlwal3m	International Journal of Water Resources and Environmental Engineering
	0110-7903	6c6fql7levae5lyunnm6aiuzaq	New Zealand monthly review
	0798-1881	xnblbncvezfuveglr5loa2rqym	Construccion
	0017-3701	5dfgot47anfwxk65i3biooh6we	Greater amusements
	0015-1287	xjwp4btqb5gojjcmdegglcyrli	The Forumeer
	1060-8371	jbubc4zldfegxfkstwvg2oh47i	IEEE Photovoltaic Specialists Conference, Conference Record of the
	2378-8953	4x4y2afasfg45iqoo47vphr6iq	Veterinary Research and Case Reports
	2162-4923	azachjfocbf6xciiz3m3ze564u	Current Dermatology Reports
	0882-5646	7fyviche6rbyzfsznpfrvvlyv4	Topics in Pain Management
	0033-7916	hsp5k2eij5dwpe4tbqf2n7gkpa	RWDSU record
	1832-3902	sdw3bp3mk5b7vpkf22nj3dbttu	Journal of tropical biology & conservation
	1066-6172	jlzpb6temzauliox6i7ecma3mq	Euromicro Workshop on Parallel and Distributed Processing, Proceedings of the
	1819-9091	gom2wpnbtje6zfssyliobeup24	SA Horseman
	8888-0000	eyngovpvzfen5hsd55udttyk2u	Big Data and Cognitive Computing
	8164-9547	knfumdwvafcnjnwge24v3kaip4	IEEE International Conference on Communications (2006)
	0368-8718	fatiuzqz7veebcr4n3t7wvn2n4	Proceedings of the Chemical Society
	2397-6227	37z2akit2nbtbea5qcn5shreru	Computational Psychiatry
	0026-6978	vq6o3qyo3rezvercvuai2dciti	Medical and biological illustration
	4174-2588	lr5kb4tnq5bpjf3otub5umkdmy	Afzalipour Journal of Clinical Research
	1089-796X	cff4m4os3bdznnc3fxbh2vv6ha	International Conference on Parallel Architectures and Compilation Techniques, Proceedings of the
	1931-7811	gmtif5qt6vddroc7uox4hxtch4	International journal of sexual health
	0583-9364	xt6yxm3j7jdyzb6viwcltb6vsq	International Reading Association. Proceedings of the annual convention
	7777-8888	3va7v7macvbalhxfujg5qfb7vi	A Journal with Only 1 Volume
	2157-3698	qegnzb72dzhf5jdunf3ge7jmji	Limnology & Oceanography Fluids & Environment
	1673-3508	z3jjoyzt45ecrh3c62afjmmxjm	Frontiers of Physical in China
	0013-0013	kwk3mhqddfddrd6hjqdnkg3f3y	Fire
	2141-2648	w5aoztaff5dg7harb4d2fyxzji	Journal of Medical Laboratory and Diagnosis
	0804-3321	bqecated6jcwzoe56hmlxxydsq	Utdanning
	0842-3446	wiidl3rotncxfpqoj46uegf5mq	African Journal of Farm Child and Youth Development
	0539-9989	c7abz7liw5d53bskkcq7fcetvy	Institution of Engineering and Technology International Conference on Medical Electrical Devices and Technology
	1057-9173	auy44witavcmnejiss5h4ndlnq	IEEE Symposium on Mass Storage Systems
	0726-2234	6cbknzfrcfchhj73pmrlull2ky	Oncology Times UK
	1949-1986	s4poo6asmffuhlfw4lsneh6fq4	Nineteenth-Century Fiction
	9999-9999	zjdb7jqlxzcmlatzcjfjlrna6m	Space Resolver 16
	0027-475X	xmgc2fswtjaghmrocercgewwnu	Minerva dietologica
	8164-2284	jkjfyzs3ijcnfbbfwxpewlwuaq	IEEE International Electron Devices Meeting
	2035-0167	nbo7hjouubbjba3kk5nn6oucmu	Quaderni materialisti
	0307-9565	mfgzm4p6zzgsxja4jjy7etl35q	International journal of obesity
	0723-6176	ynfkc2j7lzbpnchzpjic2orwlq	The Psychotherapy patient
	0965-0252	4s5mbkeut5g5tass6gz6qfivny	Plasma sources science & technology
	0143-3887	kdtbqfuuynd2fc64lprajnauvm	Current Psychological Research
	0741-9738	23er6bey4rgclaudewagavnf7m	Advances in Mind-Body Medicine
	0400-3261	arakq24urzgfhbz4abv6kz4mha	Tennessee historical quarterly
	0957-9207	k4v6ng56q5fb5p7yjyi7fsmv5a	Nanotechnology
	1089-9870	ubsj5pa5abbe7gqqdttkfibqle	Thermal and Thermomechanical Phenomena in Electronic Systems (ITHERM), Intersociety Conference on
	1812-6371	lhhrrjjxynd3lcadty56vqjk4u	New Voices in Psychology
	0613-0067	mlluqww5qnet7gqptazojr32bu	Information world
	1080-9175	yxjwuy4kj5hqvorfbmv4widyqa	Biomedical Safety & Standards
	9999-9997	o6xy2oixgzag5o6oe26fdmmr4e	Space Resolver
